Vendor,ProductName(TotalCI/NodeQuantity),Version,Function,IntendedUse,Product Category,LCCE UniqueID,PLM/PDM Root,PLM/PDM Part Number,"Mitigated Version #
(25 char limit exceeded)",Virtual Endpoint Client S/NVEC1,Virtual Endpoint Client (not Vec1) VECx,Satelite Tranmission Terminal Laptop,Engineering Node Management System,Active Directory Services,Perf EnhancingProxy,Network Timing Protocol,Network Recovery & Monitoring,ColorlessNode Manager,SIPR Node Manager,NIPR Node Manager,Network Operations LAN Manager,Network Operations WAN Manager,SIPR Multi-Domain Appliance,,,"Provisioning Maintenance
Laptop (B300)","Maintenance
Laptop (GD8000)",PDSS RELEASE DRIVE,Call Manager,Security Information Manager  ,Security Information Manager (2) ,"Elastic 
Syslog & Filebeat","Elastic
Logstash & Kibana",VMWare ESXi Server ,Nessus Scan Tool,LAN Tier 2 Router (Cisco vRouter) Lite/TRT,LAN Tier 2 Router (Cisco vRouter)             NGEN,Firewall Host (Palo Alto vFw),"Firewall Host (vFW)
(Colorless/
SIPR PoP/SNE)",Firewall Manager (Palo Alto Panorama),RVPS Application Server                    (SIPR),RVPS Application Server          (N/X),ACAS Security Center,,,,,,,,,,,,,
,,,,,"D=Developed
F=Free/Share
G=GFE/GFS
S=Subcontractor
V=VendorCOTS
LSVD",,,,,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,,,,,,,,,
GD,TranferPatchesTool,2.5.23.1.00,Utility,"Consists of two software applications
• Download Patches Application
• Upload Patches Application
These apps will enable patching to the STT Laptop and the MNT laptop, including the APP VM and the AD VM.",G,3895,2902409,07-2902409-G2.5.23.1.00C,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Trust Element Repository Reader/Writer web application,2.5.18.3.3,,Provides access to PKI trust elements and CRLs.  The Writer app permits authorized agents to update the content of the TER; the reader app permits agents to read TER content.,D,3791,2849176,07-2849176-D2.5.18.3.3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GD,vFW_Config_Tool,2.5.19.2.1,,Configure the Palo Alto virtual Firewall,D,3776,2847923,07-2847923-D2.5.19.2.1L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,vmDeployment scripts,2.5.21.2.00,,Scripts used to deploy VMs,D,3202,2839281,07-2839281-D2.5.21.2.00L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_CnrOneTouch,2.5.19.03.07,,GUI for Combat_Net_Radio Gateway operation,D,3415,2842344,07-2842344-D2.5.19.03.07L,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_CommGoalTransformUtility,2.5.21.02.02,,Tools used to convert a MPM communication goal to a human readable cutsheet in HTML format.,D,2998,2837508,07-2837508-D2.5.21.02.02L,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Credentials,2.5.19.03.07,,Perform password updates for NMS accounts,D,3089,2837509,07-2837509-D2.5.19.03.07L,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Credentials,2.5.22.03.01,,Perform password updates for NMS accounts,D,3089,2837509,07-2837509-D2.5.22.03.01L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_FBCB2Connect,2.5.19.03.07,,Launcher to display FBCB2 or JBC-P Desktop,D,3090,2839050,07-2839050-D2.5.19.03.07L,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,MIBs,2.5.22.1.01,,Used by NMS sw to communicate with Network devices using SNMP Protocol ,D,3385,2840073,07-2840073-D2.5.22.1.01L,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_NetStatusService,2.5.22.3.02,,Provide status and simple configuration of CI's communication devices,D,3398,2842046,07-2842046-D2.5.22.3.02L,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_RemoteServiceProvider,2.5.22.02.01,,Provide the NetStatus Manager access to the battery monitoring system service and shutdown service ,D,3728,2846830,07-2846830-D2.5.22.02.01L,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Troubleshooting,2.5.21.01.00,,GUI to access CI based Troubleshooting Help System,D,3418,2842347,07-2842347-D2.5.21.01.00L,,,,,,,,,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
